Category,Mass_Loss_Rate,Combustion_Fraction,Bottom_Temperature,Middle_Temperature,Top_Temperature,Propagation_Rate
60% Pine,0.004133553,0.78204882,767.2820243,639.1942109,310.3871366,0.509266832
50% Pine,0.006746815,0.90884943,692.3263789,562.4765362,438.6103723,0.496671898
50% Pine,0.00526778,0.835689057,639.8423348,566.8516752,395.225639,0.443215527
50% Pine,0.010508844,0.851995814,629.4621529,642.6288627,462.7364296,0.929407104
50% Pine,0.005793422,0.689930829,745.0870528,605.2742611,477.6886045,0.658578331
50% Pine,0.004255146,0.616893143,640.9271598,523.5634382,365.7747911,0.572001356
40% Pine,0.00539689,0.893581954,708.3584665,642.7625377,436.3264425,0.424043012
40% Pine,0.005028942,0.845396885,635.6021949,504.9735604,358.9520961,0.389111611
40% Pine,0.004279129,0.726200901,600.2006438,535.41772,287.3810729,0.400095837
40% Pine,0.006527477,0.83262707,661.1758164,670.8685731,546.077432,0.628357439
40% Pine,0.005879888,0.766782347,617.5239886,481.7153321,352.1545137,0.481183102
40% Pine,0.004073191,0.719869515,731.0950129,567.488365,428.1657814,0.473173281
40% Pine,0.004970622,0.812085327,670.4852335,510.5255564,416.7211988,0.482990831
40% Pine,0.005817369,0.748502687,598.4706243,617.6188831,523.3541445,0.638701726
30% Pine,0.005175465,0.887517029,605.2578777,579.6535261,443.5020851,0.37239699
30% Pine,0.005156126,0.879366015,718.9516903,530.7481824,341.7759567,0.414604902
30% Pine,0.005188389,0.835476833,716.9312562,654.9674805,524.9449884,0.42067592
30% Pine,0.004485728,0.760139739,490.3931078,579.5090857,441.1938547,0.361597999
30% Pine,0.004680256,0.881564796,561.6338535,527.4747952,392.5559492,0.346098241
30% Pine,0.005731816,0.93996886,677.8188824,630.3990708,512.0669494,0.335242693
30% Pine,0.004346603,0.822789197,648.6192988,520.6585737,391.7751563,0.432008303
30% Pine,0.004238544,0.725505996,564.6137089,543.6302468,340.2578171,0.457992667
30% Pine,0.005137972,0.860941417,722.7319236,638.3124363,480.4026094,0.471173914
30% Pine,0.004667429,0.755041617,601.9342561,648.677625,443.1050037,0.514293045
30% Pine,0.004282597,0.870644344,576.2432593,630.2091839,435.0775768,0.490217857
30% Pine,0.004648077,0.849290689,648.9909531,736.5834306,630.0605564,0.473644005
30% Pine,0.002571544,0.744784455,731.1766195,505.749616,232.0833925,0.374214518
20% Pine,0.003639217,0.854621013,595.4663193,673.2571909,216.7068364,0.343608
20% Pine,0.00370156,0.699677647,670.7179218,446.6718769,328.6666305,0.323699163
20% Pine,0.002674744,0.64311713,446.5915745,532.5365205,281.6026303,0.337365328
20% Pine,0.005054835,0.825942335,668.1436655,647.0235932,478.7157627,0.504447014
20% Pine,0.003698079,0.690285091,715.6981232,658.6921854,369.4987064,0.443429069
20% Pine,0.003380855,0.644373808,597.7730333,543.364507,232.7238024,0.469357111
10% Pine,0.003162237,0.638019823,632.4754399,368.8779782,204.2947516,0.357083383
10% Pine,0.002913838,0.671419189,572.8591396,340.9117477,210.1309889,0.332566516
10% Pine,0.002331478,0.545446343,698.6352985,325.0901929,192.5000367,0.310225147
10% Pine,0.00355432,0.722713886,587.8177783,462.8655364,304.8541381,0.35674014
10% Pine,0.003340593,0.707527759,588.5275877,557.9211906,328.6486481,0.277095758
10% Pine,0.002500913,0.663151609,592.9195925,451.2326959,232.5780085,0.23658451
10% Pine,0.00206353,0.759728444,611.88866,290.6201115,227.3864381,0.341135904
10% Pine,0.003721674,0.793694516,542.7417717,697.4467731,357.7756579,0.402164763
10% Pine,0.003051755,0.783860645,656.3461337,408.1973864,289.1597978,0.411699127
10% Pine,0.004405461,0.817801726,653.9259873,703.1124795,404.8823473,0.443272148
10% Pine,0.004299789,0.850313708,673.6430059,661.7039653,530.3142486,0.422935394
10% Pine,0.002854653,0.833096683,442.8857671,463.6941958,203.213651,0.328846913
10% Pine,0.001779572,0.8232598,483.927552,364.9653389,214.7308679,0.295296033
10% Pine,0.003142991,0.867018444,596.0796068,482.576432,245.0164481,0.349992919
70% Sweetgum,0.002899619,0.712536431,627.1900721,464.3628304,194.8012283,0.265692178
70% Sweetgum,0.002755233,0.872617009,656.1783434,291.2315451,239.3851215,0.23419847
70% Sweetgum,0.002253627,0.72858945,547.363943,356.2469193,198.0887659,0.245822245
70% Sweetgum,0.003441232,0.87019684,621.1411531,503.4991375,338.4335416,0.344119654
